	Abies_amabilis	Abies_grandis	Acer_circinatum	Alnus_rubra	Amelanchier_alnifolia	Corylus_cornuta	Cornus_nuttallii	Holodiscus_discolor	Menziesia_ferruginea	Oemleria_cerasiformis	Pinus_monticola	Pseudotsuga_menziesii	Rhododendron_macrophyllum	Rhamnus_purshiana	Rosa_gymnocarpa	Rubus_spectabalis	Taxus_brevifolia	Thuja_plicata	Tsuga_heterophylla	Vaccinium_membranaceum	Vaccinium_ovalifolium	Vaccinium_parvifolium
G05	14	0	5	0	0	0	1	0	4	0	0	0	0	0	0	0	1	1	22	0	0	0
G06	9	0	18	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	45	0	0	3
G07	23	0	22	0	0	0	1	1	0	0	0	2	0	0	0	0	2	0	42	0	0	0
G08	47	1	18	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	13	0	0	0
G09	43	0	10	0	0	2	1	0	0	0	0	2	0	0	0	0	4	0	6	0	0	0
G10	14	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	14	0	0	1
G11	13	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	15	0	0	2
G12	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	24	0	0	1
G13	6	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	7	0	0	6
G14	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	14	0	0	0
G15	6	0	22	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	13	0	0	2
G16	16	0	26	0	0	4	0	0	0	0	0	0	0	0	0	0	7	0	5	0	0	0
G17	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	10	0	0	0
G18	0	0	12	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	10	0	0	0
G19	17	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	9	0	0	2
G20	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	24	0	0	0
