	Acer_negundo	Acer_rubrum	Ailanthus_altissima	Amelanchier_arborea	Asimina_triloba	Carpinus_caroliniana	Carya_alba	Carya_cordiformis	Carya_glabra	Celtis_occidentalis	Cephalanthus_occidentalis	Cercis_canadensis	Cornus_florida	Elaeagnus_angustifolia	Fagus_grandifolia	Fraxinus_americana	Fraxinus_pennsylvanica	Ilex_opaca	Ilex_verticillata	Juglans_nigra	Kalmia_latifolia	Ligustrum_sp	Lindera_benzoin	Liquidambar_styraciflua	Liriodendron_tulipifera	Lonicera_mackii	Nyssa_sylvatica	Paulownia_tomentosa	Pinus_taeda	Platanus_occidentalis	Populus_grandidentata	Prunus_avium	Prunus_serotina	Quercus_alba	Quercus_coccinea	Quercus_falcata	Quercus_michauxii	Quercus_palustris	Quercus_prinus	Quercus_rubra	Quercus_stellata	Quercus_velutina	Rhus_typhina	Rosa_multiflora	Salix_nigra	Sambucus_nigra	Tilia_americana	Ulmus_americana	Ulmus_rubra	Viburnum_acerifolium	Viburnum_dentatum	Viburnum_prunifolium
435	0	0	0	0	0	16	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	2	1	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
437	0	4	0	0	0	5	3	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
439	0	7	0	0	0	85	0	0	0	0	0	0	4	0	83	0	0	0	0	0	0	0	0	5	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0
451	0	0	0	0	0	1	2	0	1	0	0	0	1	0	23	0	0	0	0	0	0	0	0	2	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
453	0	0	0	0	0	16	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	4	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
455	0	0	0	0	0	8	0	0	1	0	0	0	3	0	24	0	0	0	0	0	0	0	0	1	5	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
457	0	1	0	0	0	1	5	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
459	0	2	0	0	0	30	0	0	0	0	0	0	3	0	70	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
471	0	0	0	0	0	6	2	0	3	0	0	0	2	0	28	0	0	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
473	0	0	0	0	0	12	2	0	0	0	0	0	2	0	22	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
